Year,Player,Position,College,40,Vertical,Broad,Shuttle,Bench
2011,Stephen Paea,DT,Oregon State,4.98,,,,49
2006,Mike Kudla,DE,Ohio State,4.77,37,114,4.45,45
2012,Dontari Poe,DT,Memphis,4.89,29.5,105,4.56,44
2006,Brodrick Bunkley,DT,Florida State,4.96,32.5,113,,44
2010,Jeff Owens,DT,Georgia,4.97,30,101,4.68,44
2018,Harrison Phillips,DT,Stanford,5.21,32,103,4.5,42
2007,Tank Tyler,DT,North Carolina State,5.32,28.5,,,42
2018,Vita Vea,DT,Washington,5.1,,,,41
2021,Jaylen Twyman,DT,Pittsburgh,5.4,32.5,104,,40
2010,Linval Joseph,DT,East Carolina,5.09,30,100,4.71,39
2006,Brandon Williams,WR,Wisconsin,4.5,34.5,115,4.07,38
2013,Margus Hunt,DE,Southern Methodist,4.62,34.5,121,4.51,38
2011,Marvin Austin,DT,North Carolina,4.84,30.5,112,4.4,38
2009,Brandon Williams,DE,Texas Tech,4.96,33,112,4.49,38
2013,Brandon Williams,DT,Missouri Southern,5.37,29.5,102,4.91,38
2008,Vernon Gholston,DE,Ohio State,4.68,35.5,125,4.4,37
2013,Akeem Spence,DT,Illinois,5.15,30,107,4.72,37
2006,Haloti Ngata,DT,Oregon,5.18,31.5,110,4.65,37
2009,Terrance Taylor,DT,Michigan,5.22,30,104,5.06,37
2013,Cornelius Washington,DE,Georgia,4.55,39,128,,36
2021,Kwity Paye,DE,Michigan,4.57,35.5,118,,36
2012,Mike Martin,DT,Michigan,4.8,33.5,113,4.25,36
2012,Kendall Reyes,DT,Connecticut,4.82,34.5,113,4.53,36
2009,Roy Miller,DT,Texas,4.95,32,103,4.74,36
2019,Dexter Lawrence,DT,Clemson,5.05,,,,36
2012,Hebron Fangupo,DT,Brigham Young,5.12,31.5,99,4.62,36
2012,Loni Fangupo,DT,Brigham Young,5.18,31.5,99,4.62,36
2021,Roy Lopez,DT,Arizona,5.19,31,105,4.51,36
2006,Gabe Watson,DT,Michigan,5.29,25,96,4.8,36
2021,Forrest Merrill,DT,Arkansas State,5.3,26.5,101,4.81,36
2012,Nick Perry,DE,Southern California,4.55,38.5,124,4.66,35
2008,Limas Sweed,WR,Texas,4.56,35,,,35
2008,Taj Smith,WR,Syracuse,4.64,35,119,4.5,35
2017,Carl Lawson,DE,Auburn,4.67,33,114,4.62,35
2014,Aaron Donald,DT,Pittsburgh,4.68,32,115,4.39,35
2009,David Veikune,DE,Hawaii,4.79,33,110,4.46,35
2014,Joe Don Duncan,TE,Dixie State,4.79,,,,35
2012,Orson Charles,TE,Georgia,4.83,,,,35
2005,Tim Bulman,DT,Boston College,4.94,32.5,115,4.2,35
2018,B.J. Hill,DT,North Carolina State,4.99,26.5,101,4.53,35
2006,Barry Cofield,DT,Northwestern,5,34,105,4.35,35
2012,Marcus Forston,DT,Miami (FL),5.05,28,105,4.79,35
2021,Khyiris Tonga,DT,Brigham Young,5.1,28,105,4.73,35
2008,Trevor Laws,DT,Notre Dame,5.12,30.5,103,4.49,35
2015,Deon Simon,DT,Northwestern State (LA),5.12,29.5,105,4.76,35
2019,Albert Huggins,DT,Clemson,5.12,25.5,101,4.84,35
2018,Deadrin Senat,DT,South Florida,5.16,26,100,4.79,35
2012,Brandon Thompson,DT,Clemson,5.2,31,100,4.71,35
2008,Ahtyba Rubin,DT,Iowa State,5.26,28,106,5,35
2012,Alameda Ta'amu,DT,Washington,5.3,26,103,,35
2019,Alex Barnes,RB,Kansas State,4.59,38.5,126,4.1,34
2006,Ryan LaCasse,DE,Syracuse,4.62,34,113,4.3,34
2010,Geno Atkins,DT,Georgia,4.75,33,117,4.43,34
2011,Justin Watt,DE,Wisconsin,4.81,37,120,4.21,34
2009,Evander Hood,DT,Missouri,4.83,33,108,4.55,34
2012,Scott Solomon,DE,Rice,4.88,35,124,4.25,34
2011,J.J. Watt,DE,Wisconsin,4.91,37,120,4.21,34
2005,Shaun Cody,DT,Southern California,4.95,,,,34
2011,Adrian Taylor,DT,Oklahoma,4.96,,,,34
